Country,Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Type,Store Status,Store Type,Opening Date,Trading Days,Size (sqm),FS - new
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Riyadh Office, Riyadh",RB2-2338-STA,Standalone,LFL,Others,3/20/2016,147,85,Abu Shahid
KSA,Central,Riyadh,"Riyadh Park,Riyadh",Wellness,West Elm,The Riyadh Park,RB2-S953-WES,Standalone,LFL,Mall Location,8/1/2018,147,1053,Antony
KSA,Central,Hail,Othaim Mall Hail,Apparel,Next,"Othaim Mall, Hail",RB2-S649-NEX,Standalone,LFL,Mall Location,9/3/2016,147,402,Antony
KSA,Central,Riyadh,"Riyadh Park,Riyadh",Wellness,Boots,The Riyadh Park,RB2-S961-BOO,Standalone,LFL,Mall Location,8/14/2018,147,155,Antony
KSA,Central,Hail,Othaim Mall Hail,Apparel,Claire's,"Othaim Mall, Hail",RB2-S643-CLA,Standalone,LFL,Mall Location,9/3/2016,147,60,Antony
KSA,Central,Onaizah,"Othaim Mall,Onizah",Apparel,Next,"Othaim Mall, Onizah",RB2-S674-NEX,Standalone,LFL,Mall Location,4/30/2016,147,350,Antony
KSA,Central,Buraidah,Othaim Mall Buraidah Qassim,Apparel,Milano,"Othaim Mall Buraidah, Qassim",RB2-S743-MIL,Standalone,LFL,Mall Location,12/24/2016,147,120,Antony
KSA,Central,Hail,Othaim Mall Hail,Wellness,MAC,"Othaim Mall, Hail",RB2-S646-MAC,Standalone,LFL,Mall Location,9/3/2016,147,55,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,Jarir exit 25,RB2-S982-STA,Standalone,LFL,Plaza,2/14/2019,147,170,Abu Shahid
KSA,Central,Onaizah,"Othaim Mall,Onizah",Wellness,Bath and Body Works,"Othaim Mall, Onizah",RB2-S671-BAT,Standalone,LFL,Mall Location,5/7/2016,147,144,Antony
KSA,Central,Buraidah,Othaim Mall Buraidah Qassim,Wellness,Bath and Body Works,Othaim Mall,RB2-H018-BAT,Standalone,LFL,Mall Location,12/13/2018,147,132,Antony
KSA,Central,Riyadh,"Hayat Mall, Riyadh",Wellness,MAC,"Hayat Mall, Riyadh",RB2-2127-MAC,Standalone,LFL,Mall Location,3/22/2014,147,75,Abu Shahid
KSA,Central,Riyadh,"Hayat Mall, Riyadh",Wellness,Jo Malone,"Hayat Mall, Riyadh",RB2-2118-JOM,Standalone,LFL,Mall Location,5/16/2015,147,56,Abu Shahid
KSA,Central,Riyadh,Qasr Mall,Apparel,Milano,Qasr Mall,RB2-S367-MIL,Standalone,LFL,Mall Location,10/13/2012,147,145,Abu Shahid
KSA,Central,Riyadh,"Khorais Plaza, Riyadh",Apparel,Mothercare,"Khorais Road, Riyadh",RB2-2061-MOT,Standalone,LFL,High Street,9/1/1998,147,395,Abdul Rahman
KSA,Central,Riyadh,Riyadh Gallery,Apparel,Claire's,"Riyadh Gallery, Riyadh",RB2-1876-CLA,Standalone,LFL,Mall Location,9/22/2008,147,87,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,PNU Library Riyadh (New),RB2-H484-STA,Standalone,LFL,Institution,2/27/2022,147,80,Abdul Rahman
KSA,Central,Onaizah,Stand Alone,Starbucks,Starbucks,"Onaiza Plaza UPM - DT, Onaiza",RB2-H109-STA,Standalone,LFL,Drive-Thru,12/19/2019,147,180,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,Marvella Plaza,RB2-S981-STA,Standalone,LFL,High Street,6/4/2019,147,250,abu Shahid
KSA,Central,Riyadh,"Othaim Mall, Rabwa",Wellness,NYX,Othaim Mall Rabwa,RB2-H019-NYX,Standalone,LFL,Mall Location,3/3/2019,147,140,Antony
KSA,Central,Hail,Othaim Mall Hail,Apparel,Milano,"Othaim Mall, Hail",RB2-S647-MIL,Standalone,LFL,Mall Location,9/3/2016,147,100,Antony
KSA,Central,Riyadh,"Tafaseel BP, Riyadh",Starbucks,Starbucks,"Tafaseel BP, Riyadh",RB2-S853-STA,Standalone,LFL,Plaza,7/17/2018,147,222,Abu Shahid
KSA,Central,Riyadh,Qasr Mall,Apparel,Next,Qasr Mall,RB2-S364-NEX,Standalone,LFL,Mall Location,10/20/2012,147,456,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Jarir Exit 11, Riyadh",RB2-H068-STA,Standalone,LFL,Plaza,10/24/2019,147,122,Abu Shahid
KSA,Central,Riyadh,"Robeen Plaza, Riyadh",Starbucks,Starbucks,"Robeen Plaza, Riyadh",RB2-S047-STA,Standalone,LFL,Plaza,1/7/2017,147,138,Antony
