Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Store Type,Store Status,Opening Date,Closure, Size (sqm) ,"FM 
Supervisor",FM Manager
Eastern,Katif,Katif Commercial Centre,Apparel,American Eagle,Katif Commercial Centre  Katif,RB2-2320-AME,Plaza,LFL,8/26/2017, ,321,Mahmoud,Naif
Eastern,Dammam,West Avenue  Dammam,Apparel,American Eagle,West Avenue  Dammam,RB2-2360-AME,Mall Location,LFL,4/26/2018,,382,Mahmoud,Naif
Eastern,Jubail,The Galleria  Jubail,Apparel,American Eagle,The Galleria  Jubail,RB2-S108-AME,Mall Location,LFL,2/18/2017,,322,Mahmoud,Naif
Eastern,Dammam,"Othaim Mall, Dammam",Apparel,American Eagle,Othaim Mall  Dammam (DB),RB2-S660-AME,DB Box,LFL,11/11/2017,30-Nov-23,59,Mahmoud,Naif
Eastern,Katif,Katif Commercial Centre,Wellness,Bath and Body Works,Katif Commercial Centre,RB2-2317-BAT,Plaza,LFL,4/29/2021,,63,Mahmoud,Naif
Eastern,Khobar,"Rashid Mall, Khobar",Wellness,Bath and Body Works,Rashid Mall  Khobar,RB2-2376-BAT,Mall Location,LFL,2/16/2018,,164,Waqar,Naif
Eastern,Dammam,West Avenue  Dammam,Wellness,Bath and Body Works,West Avenue  Dammam,RB2-2437-BAT,Mall Location,LFL,4/26/2018,,187,Mahmoud,Naif
Eastern,Dammam,Nakheel Mall Dammam,Wellness,Bath and Body Works,Nakheel Mall  Dammam,RB2-H416-BAT,Shopping Mall / Center,PTL,10/6/2022,,250,Mahmoud,Naif
Eastern,Hofuf,The Walk,Wellness,Bath and Body Works,The Walk,RB2-H419-BAT,Shopping Mall / Center,PTL,10/29/2022,,88,Waqar,Naif
Eastern,Dhahran,Mall of Dhahran,Wellness,Bath and Body Works,Mall of Dhahran Dhahran,RB2-H573-BAT,Shopping Mall / Center,New,2/9/2023,,168,Waqar,Naif
Eastern,Jubail,The Galleria  Jubail,Wellness,Bath and Body Works,The Galleria  Jubail,RB2-S117-BAT,Mall Location,LFL,11/10/2016,,177,Mahmoud,Naif
Eastern,Hofuf,"Othaim Mall, Hofuf",Wellness,Bath and Body Works,Othaim Mall  Hofuf,RB2-S141-BAT,Mall Location,LFL,12/29/2012,,330,Waqar,Naif
