Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Code,Store Type,Store Status,Opening Date,Closure, SQM , FM  , FS  
Western,Jeddah,Corniche Jeddah,Starbucks,Starbucks,Corniche Jeddah,RB2-2002-STA,2002,High Street,LFL,27-May-2014,,100,Bassem ,Rayan 
Western,Jeddah,"Herra Mall, Jeddah",Apparel,American Eagle,"Heraa Mall, Jeddah",RB2-S839-AME,S839,Mall Location,LFL,6-May-2017,,850,Bassem ,Rayan 
Western,Jeddah,"Herra Mall, Jeddah",Apparel,Mothercare,"Herra Mall, Jeddah (New)",RB2-S349-MOT,S349,Mall Location,LFL,1-Mar-2012,,476,Bassem ,Rayan 
Western,Jeddah,"Herra Mall, Jeddah",Apparel,Next,"Herra Mall, Jeddah (Kids)",RB2-1778-NEX,1778,Mall Location,LFL,25-Oct-2002,,260,Bassem ,Rayan 
Western,Jeddah,"Herra Mall, Jeddah",Starbucks,Starbucks,"Herra Mall, Jeddah",RB2-S426-STA,S426,Mall Location,LFL,17-Jun-2013,,120,Bassem ,Rayan 
Western,Jeddah,"Herra Mall, Jeddah",Wellness,Bath and Body Works,"Herra Mall, Jeddah",RB2-S435-BAT,S435,Mall Location,LFL,23-Mar-2013,,200,Bassem ,Rayan 
Western,Jizan,Kady Mall Jizan,Starbucks,Starbucks,"Kady Mall, Jizan",RB2-H642-STA,H642,Shopping Mall / Center,LFL,26-Dec-2022,,44,Bassem ,Rayan 
Western,Khamis Mushait,Khamies Avenue,Starbucks,Starbucks,"Khamis Avenue mall, Khamis mushait",RB2-H069-STA,H069,Mall Location,LFL,24-Nov-2019,,159,Bassem ,Rayan 
Western,Khamis Mushait,Khamies Avenue,Starbucks,Starbucks,Khamies Avenue,RB2-H799-STA,H799,Drive-Thru,PTL,5-Sep-2024,,212,Bassem ,Rayan 
Western,Jeddah,"Mall of Arabia, Jeddah",Wellness,Bath and Body Works,Mall of Arabia-Jeddah,RB2-H804-BAT,H804,Shopping Mall / Center,PTL,3-Apr-2024,,135,Bassem ,Rayan 
Western,Jeddah,"Mall of Arabia, Jeddah",Hennes and Mauritz,Hennes and Mauritz,"Mall of Arabia, Jeddah",RB2-1992-HEN,1992,Mall Location,LFL,13-Sep-2008,,2277,Bassem ,Rayan 
Western,Jeddah,"Mall of Arabia, Jeddah",Wellness,MAC,"Mall of Arabia, Jeddah",RB2-H361-MAC,H361,Mall Location,LFL,17-Sep-2021,,60,Bassem ,Rayan 
Western,Jeddah,"Mall of Arabia, Jeddah",Starbucks,Starbucks,Mall of Arabia,RB2-H364-STA,H364,Mall Location,LFL,9-Sep-2021,,163,Bassem ,Rayan 
Western,Jeddah,"Mall of Arabia, Jeddah",Apparel,Victoria's Secret International-FA,Mall of Arabia-Jeddah-FA,RB2-H676-VIF,H676,Shopping Mall / Center,LFL,18-Sep-2023,,498,Bassem ,Rayan 
Western,Abha,Rashid Mall Abha,Apparel,American Eagle,"Rashid Mall, Abha",RB2-S605-AME,S605,Mall Location,LFL,22-Dec-2017,,369,Bassem ,Rayan 
Western,Abha,Rashid Mall Abha,Wellness,Bath and Body Works,"Rashid Mall, Abha",RB2-S606-BAT,S606,Mall Location,LFL,8-Dec-2017,,137,Bassem ,Rayan 
Western,Alula,Stand Alone,Starbucks,Starbucks,AlUla AlJadedah,RB2-H049-STA,H049,Plaza,PTL,25-Feb-2024,,64,Bassem ,Abdulrhman 
Western,Arar,Stand Alone,Starbucks,Starbucks,Arar Park Regional Road DT,RB2-H774-STA,H774,Drive-Thru,PTL,9-May-2024,,484,Bassem ,Abdulrhman 
Western,Jeddah,"Tahlia Street, Jeddah",Apparel,American Eagle,"Tahlia Street, Jeddah",RB2-2294-AME,2294,High Street,LFL,26-Apr-2012,,845,Bassem ,Rajeev
Western,Jeddah,"Red Sea Mall, Jeddah",Apparel,American Eagle,Red Sea Mall (New),RB2-H608-AME,H608,Shopping Mall / Center,LFL,27-Dec-2023,,670,Bassem ,Abdulrhman 
Western,Abha,Rashid Mall Abha,Apparel,Foot Locker,"Rashid Mall, Abha",RB2-S612-FOO,S612,Mall Location,LFL,8-Dec-2017,,144,Bassem ,Rayan 
Western,Abha,Rashid Mall Abha,Hennes and Mauritz,Hennes and Mauritz,"Rashid Mall, Abha",RB2-S613-HEN,S613,Mall Location,LFL,30-Dec-2017,,2791,Bassem ,Rayan 
Western,Jeddah,"Andalus Mall, Jeddah",Apparel,American Eagle,"Andalus Mall, Jeddah",RB2-S163-AME,S163,Mall Location,LFL,13-May-2017,,328,Hakeem ,Sultan 
Western,Abha,Rashid Mall Abha,Wellness,MAC,"Rashid Mall, Abha",RB2-S614-MAC,S614,Mall Location,LFL,10-Feb-2018,,66,Bassem ,Rayan 
Western,Jeddah,Jeddah Walk Mall,Apparel,American Eagle,Jeddah Walk Mall,RB2-H849-AME,H849,Mall Location,PTL,27-Jun-2024,,406,Bassem ,Rajeev
Western,Jeddah,"Tahlia Mall, Jeddah",Wellness,Bath and Body Works,"Tahlia Mall, Jeddah",RB2-2423-BAT,2423,Mall Location,LFL,13-Apr-2013,,160,Hakeem ,Sultan 
Western,Jeddah,"Red Sea Mall, Jeddah",Wellness,Bath and Body Works,"Red Sea Mall, Jeddah",RB2-2727-BAT,2727,Mall Location,LFL,15-Oct-2018,,163,Bassem ,Abdulrhman 
Western,Jeddah,Yasmin Mall Jeddah,Wellness,Bath and Body Works,Yasmin Mall  Jeddah,RB2-H488-BAT,H488,Shopping Mall / Center,LFL,27-Oct-2022,,98,Hakeem ,Sultan 
Western,Jeddah,"Aziz Mall, Jeddah",Wellness,Bath and Body Works,Aziz Mall-Jeddah,RB2-H662-BAT,H662,Shopping Mall / Center,LFL,16-Feb-2023,,131,Hakeem ,Sultan 
Western,Abha,Rashid Mall Abha,Apparel,Milano,"Rashid Mall, Abha",RB2-S615-MIL,S615,Mall Location,LFL,8-Dec-2017,,120,Bassem ,Rayan 
Western,Jeddah,Salam Mall-Jeddah,Wellness,Bath and Body Works,Salam Mall-Jeddah,RB2-H701-BAT,H701,Shopping Mall / Center,LFL,21-Aug-2023,,135,Hakeem ,Sultan 
Western,Jeddah,Jeddah Walk Mall,Wellness,Bath and Body Works,Jeddah Walk Mall,RB2-H805-BAT,H805,Mall Location,PTL,30-May-2024,,134,Bassem ,Rajeev
Western,Jeddah,"Andalus Mall, Jeddah",Wellness,Bath and Body Works,Andalus Mall-Jeddah,RB2-S164-BAT,S164,Mall Location,LFL,3-Mar-2020,,186,Hakeem ,Sultan 
Western,Abha,Rashid Mall Abha,Starbucks,Starbucks,"Rashid Mall 2, Abha",RB2-S623-STA,S623,Mall Location,LFL,22-Mar-2018,,150,Bassem ,Rayan 
Western,Jeddah,"Red Sea Mall, Jeddah",Wellness,Boots,"Red Sea Mall, Jeddah (BB)",RB2-2706-BOO,2706,Mall Location,LFL,27-Dec-2018,,167,Bassem ,Abdulrhman 
Western,Jeddah,"Red Sea Mall, Jeddah",Wellness,Charlotte Tilbury,"Red Sea Mall, Jeddah",RB2-H721-CHA,H721,Shopping Mall / Center,LFL,10-Aug-2023,,92,Bassem ,Abdulrhman 
Western,Jeddah,"Red Sea Mall, Jeddah",Apparel,Claire's,"Red Sea Mall, Jeddah",RB2-2707-CLA,2707,Mall Location,LFL,5-Mar-2008,,64,Bassem ,Abdulrhman 
Western,Jeddah,"Red Sea Mall, Jeddah",Hennes and Mauritz,Collection of Style,"Red Sea Mall, Jeddah",RB2-S059-COL,S059,Mall Location,LFL,21-Sep-2018,,497,Bassem ,Abdulrhman 
Western,Jeddah,"Red Sea Mall, Jeddah",Wellness,Dr. Vranjes,Red Sea Mall,RB2-H336-DRV,H336,Mall Location,LFL,8-Jul-2021,,66,Bassem ,Abdulrhman 
Western,Jeddah,"Red Sea Mall, Jeddah",Apparel,Foot Locker,Red sea mall-Jeddah New,RB2-H789-FOO,H789,Shopping Mall / Center,PTL,17-Apr-2024,,774,Bassem ,Abdulrhman 
Western,Jeddah,Jeddah Walk Mall,Apparel,Foot Locker,Jeddah Walk Mall,RB2-H835-FOO,H835,Mall Location,PTL,2-Jul-2024,,491,Bassem ,Rajeev
Western,Jizan,Rashid Mall Jizan,Hennes and Mauritz,Hennes and Mauritz,"Rashid Mall, Jizan",RB2-S690-HEN,S690,Mall Location,LFL,25-Feb-2017,,1226,Bassem ,Rayan 
Western,Jeddah,"Tahlia Mall, Jeddah",Hennes and Mauritz,Hennes and Mauritz,"Tahlia Mall, Jeddah",RB2-2142-HEN,2142,Mall Location,LFL,31-Mar-2012,,1922,Hakeem ,Sultan 
Western,Jeddah,"Andalus Mall, Jeddah",Hennes and Mauritz,Hennes and Mauritz,"Andalus Mall, Jeddah",RB2-S177-HEN,S177,Mall Location,LFL,28-May-2011,,1318,Hakeem ,Sultan 
Western,Jeddah,"Red Sea Mall, Jeddah",Hennes and Mauritz,Hennes and Mauritz,"Red Sea Mall, Jeddah (Family)",RB2-S289-HEN,S289,Mall Location,LFL,26-Mar-2011,,2566,Bassem ,Abdulrhman 
Western,Jeddah,"Red Sea Mall, Jeddah",Wellness,Jo Malone,"Red Sea Mall, Jeddah",RB2-2729-JOM,2729,Mall Location,LFL,24-May-2014,,60,Bassem ,Abdulrhman 
Western,Jeddah,"Andalus Mall, Jeddah",Wellness,Jo Malone,"Andalus Mall, Jeddah",RB2-S179-JOM,S179,Mall Location,LFL,16-May-2015,,60,Hakeem ,Sultan 
Western,Jeddah,"Red Sea Mall, Jeddah",Wellness,Le Labo,"Red Sea Mall, Jeddah-New",RB2-H133-LEL,H133,Mall Location,LFL,21-Nov-2019,,64,Bassem ,Abdulrhman 
Western,Jeddah,"Red Sea Mall, Jeddah",Wellness,MAC,"Red Sea Mall, Jeddah",RB2-2710-MAC,2710,Mall Location,LFL,5-Mar-2008,,102,Bassem ,Abdulrhman 
Western,Jizan,Rashid Mall Jizan,Starbucks,Starbucks,"Rashid Mall, Jizan",RB2-H368-STA,H368,Mall Location,LFL,18-Nov-2021,,245,Bassem ,Rayan 
Western,Jeddah,"Andalus Mall, Jeddah",Wellness,MAC,"Andalus Mall, Jeddah",RB2-S180-MAC,S180,Mall Location,LFL,28-Mar-2015,,70,Hakeem ,Sultan 
Western,Jeddah,Jeddah Walk Mall,Wellness,MAC,Jeddah Walk Mall,RB2-H834-MAC,H834,Mall Location,PTL,30-May-2024,,64,Bassem ,Rajeev
Western,Jeddah,"Tahlia Mall, Jeddah",Apparel,Milano,"Tahlia Mall, Jeddah",RB2-1931-MIL,1931,Mall Location,LFL,1-Mar-2003,,120,Hakeem ,Sultan 
Western,Jeddah,"Red Sea Mall, Jeddah",Apparel,Milano,"Red Sea Mall, Jeddah",RB2-2711-MIL,2711,Mall Location,LFL,5-Apr-2008,,214,Bassem ,Abdulrhman 
Western,Jeddah,"Andalus Mall, Jeddah",Apparel,Milano,"Andalus Mall, Jeddah",RB2-S167-MIL,S167,Mall Location,LFL,2-Jan-2016,,131,Hakeem ,Sultan 
Western,Jeddah,"Red Sea Mall, Jeddah",Apparel,Mothercare,"Red Sea Mall, Jeddah (New)",RB2-2722-MOT,2722,Mall Location,LFL,13-Aug-2011,,1067,Bassem ,Abdulrhman 
